,Accuracy,Precision,Recall,F1,ROC-AUC
Dummy Baseline,0.6708860759493671,0.6708860759493671,1.0,0.803030303030303,0.5
Logistic Regression,0.6962025316455697,0.5714285714285714,0.3076923076923077,0.4,0.7148040638606676
Random Forest,0.7088607594936709,0.6153846153846154,0.3076923076923077,0.41025641025641024,0.6944847605224963
Original XGBoost,0.7088607594936709,0.5789473684210527,0.4230769230769231,0.4888888888888889,0.7024673439767779
Tuned XGBoost,0.759493670886076,0.6842105263157895,0.5,0.5777777777777777,0.7438316400580551
