mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__n_estimators,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.05096559524536133,0.004584990796516993,0.015331745147705078,0.002947568714083523,0.9,100,6,0.01,0.9,"{'model__subsample': 0.9, 'model__n_estimators': 100, 'model__max_depth': 6, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.9}",0.16,0.18181818181818182,0.09090909090909091,0.4666666666666667,0.15384615384615385,0.21064801864801863,0.1315338679420163,19
0.11363162994384765,0.01140219935168511,0.017685890197753906,0.002017683468298918,0.7,500,2,0.1,0.8,"{'model__subsample': 0.7, 'model__n_estimators': 500, 'model__max_depth': 2, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.8}",0.26666666666666666,0.4166666666666667,0.45714285714285713,0.5714285714285714,0.36363636363636365,0.4151082251082251,0.10088571603554994,9
0.05919780731201172,0.0055615480629226215,0.027277421951293946,0.014968182664897717,0.8,100,6,0.01,0.7,"{'model__subsample': 0.8, 'model__n_estimators': 100, 'model__max_depth': 6, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.7}",0.09090909090909091,0.25,0.09090909090909091,0.37037037037037035,0.14814814814814814,0.19006734006734008,0.10725953744677086,20
0.1506413459777832,0.03419481777332075,0.014186334609985352,0.0007019993728017286,0.7,500,4,0.01,0.7,"{'model__subsample': 0.7, 'model__n_estimators': 500, 'model__max_depth': 4, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.7}",0.2222222222222222,0.42857142857142855,0.4444444444444444,0.5142857142857142,0.358974358974359,0.3936996336996337,0.09893677584999341,14
0.10843219757080078,0.00869574250259864,0.01505870819091797,0.0011785312711330505,0.9,300,5,0.03,1.0,"{'model__subsample': 0.9, 'model__n_estimators': 300, 'model__max_depth': 5, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}",0.26666666666666666,0.4090909090909091,0.5333333333333333,0.5263157894736842,0.41025641025641024,0.42913262176420064,0.09742230191396908,3
0.11899785995483399,0.005019806682036874,0.012308979034423828,0.0024019146395159196,0.9,500,4,0.05,0.8,"{'model__subsample': 0.9, 'model__n_estimators': 500, 'model__max_depth': 4, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}",0.3225806451612903,0.4444444444444444,0.41379310344827586,0.5,0.4186046511627907,0.41988456884336023,0.05749516067080715,8
0.06798968315124512,0.007350411836647392,0.012011098861694335,0.0006355791691430995,1.0,200,4,0.05,1.0,"{'model__subsample': 1.0, 'model__n_estimators': 200, 'model__max_depth': 4, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}",0.3333333333333333,0.47368421052631576,0.4,0.5405405405405406,0.4,0.4295116168800379,0.07109257796196097,2
0.12143354415893555,0.003960996769497412,0.00701289176940918,0.0007179208440117335,0.8,500,6,0.03,0.8,"{'model__subsample': 0.8, 'model__n_estimators': 500, 'model__max_depth': 6, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.3225806451612903,0.4090909090909091,0.4827586206896552,0.5263157894736842,0.38095238095238093,0.424339669073584,0.07250073577403318,6
0.06428556442260742,0.001912521663141702,0.010201501846313476,0.0019824681071945083,0.9,200,6,0.1,0.8,"{'model__subsample': 0.9, 'model__n_estimators': 200, 'model__max_depth': 6, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.8}",0.25,0.5238095238095238,0.4666666666666667,0.55,0.35,0.4280952380952381,0.11254024223560649,4
0.041631317138671874,0.001323592843991006,0.011991167068481445,0.0007065895484710343,0.8,200,2,0.03,1.0,"{'model__subsample': 0.8, 'model__n_estimators': 200, 'model__max_depth': 2, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}",0.2857142857142857,0.5,0.37037037037037035,0.5,0.32432432432432434,0.39608179608179606,0.08898222937309656,12
